CUI_ID,Gene
C2698168,apoa1
C1306969,apoa1bp
C1425525,apoa1bp
C3812155,apoa1bp
C0855605,apoa2
C1412469,apoa2
C1412470,apoa4
C2930630,apoa4
C3542403,apoa4
C1424878,apoa5
C3539000,apoa5
C0003593,apob
C0523509,apob
C1412471,apob
C3252643,apob
C1412472,apobec1
C1412473,apobec2
C1424917,apobec3a
C1424925,apobec3b
C1424926,apobec3c
C1424927,apobec3d
C1424929,apobec3f
C1424930,apobec3g
C1970411,apobec3h
C1824091,apobec4
C1854576,apobr
C0608460,apoc1
C1412475,apoc1
C4050244,apoc1
C0052190,apoc2
C1412477,apoc2
C3539062,apoc2
C1412478,apoc3
C2825881,apoc3
C3889629,apoc3
C1412479,apoc4
C1412480,apod
C0003595,apoe
C0523511,apoe
C1412481,apoe
C1412483,apof
C1271664,apoh
C1412484,apoh
C1412485,apol1
C1447574,apol1
C1412486,apol2
C1423011,apol3
C1423010,apol4
C1423012,apol5
C1423013,apol6
C1824092,apold1
C1422268,apom
C1824093,apoo
C1824094,apool
C3471496,apopt1
C0085151,app
C0611285,app
C1364818,app
C1332104,appbp2
C1332256,appbp2
C1704958,appbp2
C1858559,appl1
C1853491,appl2
C0001414,aprt
C0175512,aprt
C1366623,aprt
C1423885,aptx
C1412491,aqp1
C1423922,aqp10
C1426548,aqp11
C1824099,aqp12a
C1824100,aqp12b
C1412492,aqp2
C1412493,aqp3
C1412494,aqp4
C1412495,aqp5
C1412496,aqp6
C1412497,aqp7
C1412498,aqp8
C1412497,aqp9
C1412499,aqp9
C1538916,aqr
C0003504,ar
C0003761,ar
C0003790,ar
C0559546,ar
C0560271,ar
C1367578,ar
C1412322,ar
C1436327,ar
C1447749,ar
C1514768,ar
C1551058,ar
C1704744,ar
C1704903,ar
C1705240,ar
C3884535,ar
C4521369,ar
C1538917,araf
C1424640,arap1
C1424639,arap2
C1538436,arap3
C0001857,arc
C1412501,arc
C1417756,arc
C1510963,arc
C1854562,arc
C1882534,arc
C1412502,arcn1
C1332109,areg
C3884535,areg
C1412504,arf1
C1412506,arf3
C1412507,arf4
C1412510,arf5
C1412511,arf6
C1423774,arfgap1
C1422025,arfgap2
C1412513,arfgap3
C1538920,arfgef1
C1423775,arfgef2
C1427585,arfip1
C1424785,arfip2
C1412514,arfrp1
C1412515,arg1
C1823280,arg1
C1412516,arg2
